식품이름,1회제공량 (g),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
참치소고기양상추쌈,120,24.79,9.31,5.26,0.0,312.47,0.0,0.0,0.0
낙지강회,104,6.93,6.68,0.46,0.0,152.59,0.0,0.0,0.0
대구포,100,2.3,32.0,0.4,0.0,3875.95,107.15,0.2,0.0
돼지고기머리고기,100,1.74,21.22,26.0,0.03,166.82,85.55,7.6,0.19
북어포,20,0.32,15.42,0.38,0.22,128.99,85.02,0.14,0.0
어묵,30,0.84,0.84,0.66,0.28,36.17,0.0,0.03,0.0
육회,150,14.1,22.38,9.33,1.52,447.81,79.09,2.91,0.17
버거,244,0.0,65.88,0.0,26.84,2325.32,0.0,29.28,0.0
랏츠버거,220,0.0,50.03,0.0,21.14,1741.16,0.0,29.23,0.0
리브샌드,188,0.0,38.82,0.0,18.94,1644.67,0.0,13.22,0.0
갈릭스테이크하우스버거,100,0.0,12.62,0.0,4.52,371.44,0.0,4.22,0.0
그릴디럭스버거,200,0.0,51.64,0.0,0.84,2148.8,0.0,9.28,0.0
그릴맥스버거,263,0.0,62.36,0.0,11.67,2609.22,0.0,19.08,0.0
닭고기살코기치킨텐더즈버거킹,100,0.0,17.7,17.7,0.0,758.0,0.0,0.0,0.0
더불치즈버거,100,0.0,16.32,0.0,3.4,592.45,0.0,7.19,0.0
더불치즈와퍼,100,0.0,16.69,0.0,2.76,493.25,0.0,6.6,0.0
더블디럭스슈프림버거,272,0.0,57.12,0.0,27.2,3043.68,0.0,13.6,0.0
더블쿼터파운더치즈,100,0.0,18.57,0.0,2.34,342.73,0.0,6.34,0.0
더블치즈버거,164,0.0,42.64,0.0,11.48,1823.68,0.0,21.32,0.0
데리버거,132,0.0,16.74,0.0,6.26,808.29,0.0,7.52,0.0
디럭스슈프림버거,197,0.0,29.55,0.0,17.73,1737.54,0.0,9.85,0.0
디럭스치즈버거,171,0.0,29.07,0.0,10.26,1166.22,0.0,13.68,0.0
라이스버거불고기,225,0.0,43.38,0.0,11.74,1796.24,0.0,19.64,0.0
랏츠버거,100,0.0,13.88,0.0,1.09,333.8,0.0,7.45,0.0
레이디샌드위치,215,105.35,47.94,39.34,15.05,1270.65,6.99,10.1,0.47
로스트갈릭버거,153,61.4,24.39,32.82,15.66,1342.04,46.07,10.91,0.05
로얄그릴드치킨버거,100,0.0,13.27,0.0,1.71,569.29,0.0,2.02,0.0
리치버거,173,0.0,32.87,0.0,8.65,1313.07,0.0,10.38,0.0
맥더블,150,0.0,34.5,0.0,9.0,1312.5,0.0,15.0,0.0
맥스파이시더블케이준버거,256,0.0,64.0,0.0,20.48,2321.92,0.0,15.36,0.0
맥스파이시상하이디럭스,240,0.0,62.4,0.0,16.8,3252.0,0.0,14.4,0.0
맥스파이시상하이버거,228,0.0,52.44,0.0,13.68,2047.44,0.0,9.12,0.0
맥스파이시케이준버거,200,0.0,32.0,0.0,16.0,1250.0,0.0,8.0,0.0
맥치킨,163,0.0,24.45,0.0,9.78,1171.97,0.0,8.15,0.0
미니언슈비버거,245,0.0,49.0,0.0,19.6,2173.15,0.0,12.25,0.0
바베큐불고기버거,164,0.0,26.24,0.0,26.24,1366.12,0.0,3.28,0.0
베이컨토마토디럭스버거,242,0.0,65.34,0.0,36.3,2717.66,0.0,29.04,0.0
베이컨갈릭징거버거,232,0.0,54.18,0.0,13.45,2543.06,0.0,17.59,0.0
불갈비버거,162,64.95,27.95,30.47,22.12,1352.09,50.15,11.47,0.68
불고기버거,100,0.0,12.35,0.0,5.26,353.8,0.0,5.01,0.0
불고기와퍼쥬니어,158,56.42,28.71,28.96,5.72,827.06,38.19,11.96,0.05
불고기치킨크리스피버거,100,0.0,10.0,0.0,3.47,588.79,0.0,3.97,0.0
불고기크리스피치킨버거,140,57.4,22.4,33.6,10.08,1132.6,42.0,7.84,0.28
불새버거,191,0.0,38.07,0.0,12.15,1725.16,0.0,12.14,0.0
빅맥,213,0.0,55.38,0.0,14.91,2155.56,0.0,25.56,0.0
빵크로아쌍소시지크라상버거킹,100,2.6,11.8,27.0,0.0,737.0,0.0,0.0,0.0
사이다사이다사이다버거킹,100,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
상하이스파이스치킨버거,100,0.0,12.43,0.0,2.19,544.88,0.0,1.92,0.0
새우버거,162,0.0,14.92,0.0,7.48,943.18,0.0,5.69,0.0
소스류머스터드소스버거킹,100,0.0,0.0,21.4,0.0,536.0,0.0,0.0,0.0
쉬림프징거버거,154,78.5,17.55,33.68,9.01,1542.96,53.74,7.76,0.5
스위피버거,159,71.55,23.37,32.12,8.74,620.1,2.1,2.07,0.21
스파이시텐더크리스피버거,100,0.0,9.96,0.0,1.68,577.87,0.0,4.63,0.0
싱글즈불고기버거,140,50.04,23.58,24.95,13.84,605.23,31.4,10.66,0.04
야채라이스불고기,100,0.0,7.58,0.0,0.61,256.89,0.0,3.02,0.0
양파링튀긴것양파링튀긴것어니언링버거킹,100,4.6,5.3,19.9,0.0,583.0,0.0,0.0,0.0
어린이불고기버거,136,53.55,24.38,21.29,10.41,657.9,45.96,9.19,0.04
오렌지쥬스농축과즙오렌지주스버거킹,100,11.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
오징어버거,140,0.0,20.72,0.0,11.12,804.86,0.0,7.19,0.0
와일드쉬림프버거,203,0.0,31.84,0.0,11.98,1801.38,0.0,9.48,0.0
와퍼주니어,158,52.14,26.86,34.76,7.27,900.6,56.88,12.17,0.05
우리한우버거,100,0.0,8.68,0.0,4.5,277.57,0.0,3.11,0.0
울트라치킨,206,0.0,28.84,0.0,14.21,1643.88,0.0,10.3,0.0
자이언트더블버거,198,0.0,45.42,0.0,15.15,1424.06,0.0,23.03,0.0
징거버거,203,0.0,41.89,0.0,3.92,1907.31,0.0,10.03,0.0
치즈버거,114,0.0,18.24,0.0,6.84,820.8,0.0,7.98,0.0
치즈징거버거,216,0.0,48.98,0.0,10.05,2331.61,0.0,13.5,0.0
치킨버거,140,0.0,24.17,0.0,7.17,913.07,0.0,6.07,0.0
치킨불고기버거,160,0.0,22.12,0.0,3.92,957.31,0.0,6.48,0.0
치킨휠레샌드위치,100,0.0,13.57,0.0,2.61,342.25,0.0,1.67,0.0
커피여과액커피버거킹,100,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
케이준통샌드위치,100,0.0,15.98,0.0,1.5,469.54,0.0,3.7,0.0
콜라다이어트콜라다이어트버거킹,100,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
콜라일반콜라코카콜라버거킹,100,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
쿼터파운더치즈,100,0.0,16.68,0.0,2.84,492.15,0.0,7.08,0.0
타바스코맛샌드위치,155,55.8,40.61,11.78,13.48,581.25,1.05,3.1,0.17
텐더그릴치킨,173,0.0,26.93,0.0,13.69,1517.7,0.0,14.01,0.0
토마토치즈버거,181,0.0,30.77,0.0,14.48,1538.5,0.0,14.48,0.0
토마토케첩토마토케첩케첩버거킹,100,0.0,0.0,0.0,0.0,1286.0,0.0,0.0,0.0
통새우버거,100,0.0,6.7,0.0,4.33,360.27,0.0,1.89,0.0
트위스터,169,61.41,27.7,34.27,1.86,2876.09,51.52,10.85,0.0
파이사과파이애플파이버거킹,100,19.5,2.7,13.3,0.0,204.0,0.0,0.0,0.0
한우불고기주니어,180,0.0,31.74,0.0,13.73,1684.97,0.0,15.88,0.0
핫크리스피버거,190,0.0,41.8,0.0,9.5,1765.1,0.0,13.87,0.0
해쉬브라운해쉬브라운해쉬브라운버거킹,100,0.0,2.7,20.0,0.0,587.0,0.0,0.0,0.0
햄버거,100,0.0,13.0,0.0,6.0,509.0,0.0,4.0,0.0
후렌치후라이가공품일반후렌치후라이버거킹,100,0.0,2.9,17.6,0.0,694.0,0.0,0.0,0.0
휠레샌드위치,195,62.4,41.53,38.61,14.23,916.5,2.87,7.8,0.33
한우불고기밤스위트골드,169,0.0,47.02,0.0,9.46,482.16,0.0,12.34,0.0
썸로스트치킨파오,195,0.0,46.8,0.0,19.5,1684.8,0.0,17.55,0.0
썸콤보,176,0.0,40.48,0.0,8.8,1351.68,0.0,14.08,0.0
썸더블포테이토,197,0.0,43.34,0.0,23.64,1546.45,0.0,15.76,0.0
썸발사믹로스트비프,181,0.0,41.63,0.0,9.05,1335.78,0.0,12.67,0.0
썸수퍼슈프림,171,0.0,37.62,0.0,5.13,1332.09,0.0,15.39,0.0
썸직화불고기,169,0.0,37.18,0.0,8.45,1167.79,0.0,13.52,0.0
썸칠리쉬림프,169,0.0,38.87,0.0,11.83,1066.39,0.0,13.52,0.0
썸페퍼로니,123,0.0,22.14,0.0,2.46,806.88,0.0,9.84,0.0
썸허니크림치즈,124,0.0,22.32,0.0,8.68,667.12,0.0,14.88,0.0
갈릭스테이크씬,100,0.0,16.68,0.0,3.23,415.82,0.0,5.91,0.0
갈릭스테이크피자씬,123,0.0,23.86,0.0,4.0,687.69,0.0,9.47,0.0
갈릭스테이크피자오리지널,166,0.0,35.03,0.0,7.87,1201.01,0.0,11.45,0.0
갈릭스테이크피자씬,144,0.0,31.68,0.0,10.08,804.96,0.0,12.96,0.0
갈릭스테이크피자팬,182,0.0,50.96,0.0,9.1,1292.2,0.0,10.92,0.0
갈릭치킨바베큐피자,103,0.0,12.67,0.0,2.68,404.89,0.0,3.81,0.0
감자피자씬,124,0.0,17.36,0.0,4.96,556.76,0.0,9.92,0.0
감자피자씬,148,0.0,25.16,0.0,5.92,797.72,0.0,14.8,0.0
감자피자팬,190,0.0,45.6,0.0,15.2,1476.3,0.0,15.2,0.0
감자피자팬,152,0.0,28.88,0.0,9.12,943.92,0.0,10.64,0.0
감자피자씬,100,0.0,12.94,0.0,2.49,308.03,0.0,6.28,0.0
게살몽땅살사소스골드,166,0.0,22.96,0.0,10.01,671.99,0.0,14.22,0.0
게살몽땅살사소스오리진,115,0.0,10.43,0.0,3.97,292.31,0.0,5.77,0.0
게살몽땅살사소스,134,41.42,13.87,19.81,5.58,431.69,23.77,9.0,0.56
게살통통피자씬,132,0.0,21.12,0.0,7.92,931.92,0.0,10.56,0.0
게살통통피자씬,158,0.0,31.6,0.0,11.06,1338.26,0.0,14.22,0.0
게살통통피자팬,163,0.0,32.6,0.0,13.04,1325.19,0.0,4.89,0.0
고구마바이트피자,119,0.0,10.83,0.0,8.45,781.59,0.0,5.12,0.0
고구마피자,197,0.0,28.37,0.0,20.49,2160.7,0.0,11.23,0.0
고구마레귤러조각,155,0.0,34.1,0.0,8.99,997.11,0.0,13.48,0.0
고구마스크린,104,0.0,18.72,0.0,4.99,496.5,0.0,6.97,0.0
고구마무스바이트,131,0.0,18.34,0.0,13.1,615.7,0.0,6.55,0.0
고구마피자,100,0.0,9.19,0.0,7.59,301.23,0.0,2.46,0.0
곤졸라스크린,101,47.04,9.31,7.26,3.68,289.1,0.0,6.85,0.0
곤졸라치크,120,43.01,23.56,16.31,5.32,766.68,0.0,8.73,0.0
곤졸라팬,105,40.1,18.26,7.67,3.93,403.37,0.0,4.94,0.0
곤졸라피타,66,11.91,8.98,7.98,1.97,181.9,0.0,5.09,0.0
골드고구마피자,127,0.0,13.46,0.0,8.89,891.16,0.0,6.48,0.0
골드불고기피자,118,0.0,11.33,0.0,6.02,859.87,0.0,5.55,0.0
골드스테이크불갈비피자,123,0.0,17.59,0.0,7.26,850.79,0.0,8.36,0.0
골드야채피자,111,0.0,17.32,0.0,6.33,651.46,0.0,5.99,0.0
골드이탈리안치즈피자,109,0.0,16.68,0.0,1.85,785.56,0.0,6.54,0.0
골드콤비네이션피자,117,0.0,17.67,0.0,5.97,773.96,0.0,6.79,0.0
골드텐더치킨피자,126,0.0,18.14,0.0,8.19,903.04,0.0,7.43,0.0
골드페파로니피자,114,0.0,16.76,0.0,6.38,799.25,0.0,7.18,0.0
골드포테이토피자,125,0.0,14.62,0.0,6.0,735.25,0.0,7.38,0.0
골드스파이치킨피자,126,0.0,18.09,0.0,8.23,903.04,0.0,7.4,0.0
골드큐브스크린,137,62.23,21.64,19.45,11.86,709.87,0.0,10.04,0.0
골드큐브치크,169,71.01,45.33,36.42,15.96,1546.8,0.0,12.85,0.0
골드큐브팬,151,79.65,24.77,22.88,13.07,849.52,0.0,10.74,0.0
골드큐브피타,122,37.21,22.74,25.56,9.03,550.32,0.0,14.2,0.0
골드텐더쉬림프피자,128,0.0,17.92,0.0,5.63,816.0,0.0,7.42,0.0
골드포테이토피자,123,0.0,18.76,0.0,7.07,775.27,0.0,6.24,0.0
골든고구마,113,0.0,12.43,0.0,10.17,361.6,0.0,4.97,0.0
골든고구마킹,213,0.0,40.47,0.0,40.47,1278.0,0.0,17.04,0.0
골든고구마피자,79,0.0,7.11,0.0,4.74,181.7,0.0,2.37,0.0
골든궁중떡갈비,116,0.0,16.24,0.0,9.28,545.2,0.0,6.96,0.0
골든단갈릭,149,0.0,25.33,0.0,14.9,700.3,0.0,7.45,0.0
골든단호박카사,126,0.0,13.86,0.0,10.08,579.6,0.0,6.3,0.0
골든리치킨바베큐,133,0.0,19.95,0.0,13.3,665.0,0.0,6.65,0.0
골든리치킨바비큐,133,0.0,18.62,0.0,14.63,638.4,0.0,7.98,0.0
골든베이컨,109,0.0,15.26,0.0,7.63,457.8,0.0,6.54,0.0
골든베이컨킹,205,0.0,51.25,0.0,28.7,1599.0,0.0,20.5,0.0
골든베이컨포테이토,125,0.0,18.75,0.0,7.5,550.0,0.0,7.5,0.0
골든베이컨피자,78,0.0,10.14,0.0,3.12,251.94,0.0,3.12,0.0
골든불갈비,118,0.0,17.7,0.0,9.44,507.4,0.0,4.37,0.0
골든불갈비킹,222,0.0,57.72,0.0,37.74,1776.0,0.0,13.32,0.0
골든불갈비피자,79,0.0,8.69,0.0,3.16,295.46,0.0,3.16,0.0
골든불고기,164,0.0,32.8,0.0,19.68,869.2,0.0,11.48,0.0
골든불고기킹,155,0.0,26.35,0.0,18.6,759.5,0.0,9.3,0.0
골든불고기피자,77,0.0,6.93,0.0,3.08,208.67,0.0,3.08,0.0
골든빅랑,125,0.0,18.75,0.0,10.0,625.0,0.0,7.5,0.0
골든빅랑피자,114,0.0,16.53,0.0,7.98,506.16,0.0,5.7,0.0
골든쉬림프,118,0.0,18.88,0.0,7.08,625.4,0.0,7.08,0.0
골든쉬림프킹,224,0.0,62.72,0.0,26.88,2195.2,0.0,22.4,0.0
골든쉬림프바베큐감자피자,91,0.0,7.74,0.0,2.73,262.54,0.0,2.28,0.0
골든쉬림프바비큐,131,0.0,19.65,0.0,9.17,759.8,0.0,7.86,0.0
골든슈퍼콤비,111,0.0,15.54,0.0,7.77,399.6,0.0,5.55,0.0
골든슈퍼콤비킹,200,0.0,46.0,0.0,26.0,1400.0,0.0,18.0,0.0
골든슈퍼콤비피자,76,0.0,8.36,0.0,2.28,272.84,0.0,2.28,0.0
골든스위트피자씬,124,0.0,19.96,0.0,12.26,625.08,0.0,15.38,0.0
골든스위트피자오리지널,168,0.0,35.95,0.0,16.9,1072.01,0.0,11.09,0.0
골든스위티치킨,124,0.0,17.36,0.0,12.4,483.6,0.0,5.7,0.0
골든스위티치킨킹,234,0.0,58.5,0.0,49.14,1684.8,0.0,18.72,0.0
골든야채피자,81,0.0,8.1,0.0,3.24,219.51,0.0,3.24,0.0
골든치즈킹,182,0.0,45.5,0.0,20.02,1092.0,0.0,20.02,0.0
골든치즈피자,73,0.0,9.49,0.0,2.92,220.46,0.0,2.19,0.0
골든카사바피자,94,0.0,6.58,0.0,4.7,300.8,0.0,2.82,0.0
골든크런치포테이토피자,93,0.0,9.3,0.0,2.79,320.85,0.0,6.51,0.0
골든통고구마피자,76,0.0,5.32,0.0,3.8,224.96,0.0,2.28,0.0
골든트리플스윗피자,72,0.0,5.76,0.0,2.16,175.68,0.0,2.88,0.0
골든페페로니,181,0.0,36.2,0.0,21.72,1140.3,0.0,16.29,0.0
골든페페로니킹,71,0.0,12.78,0.0,9.23,418.9,0.0,5.68,0.0
골든페페로니피자,77,0.0,6.93,0.0,3.08,260.26,0.0,3.08,0.0
골든포테이토,108,0.0,12.96,0.0,6.48,324.0,0.0,4.86,0.0
골든포테이토킹,203,0.0,42.63,0.0,26.39,1136.8,0.0,16.24,0.0
골든포테이토피자,83,0.0,9.13,0.0,3.32,229.08,0.0,2.49,0.0
골든포테이토휠레,126,0.0,20.16,0.0,10.08,617.4,0.0,7.56,0.0
골든하아이언피자,73,0.0,7.3,0.0,6.57,200.02,0.0,2.19,0.0
골든핫치킨,117,0.0,17.55,0.0,9.36,549.9,0.0,7.02,0.0
골든핫치킨킹,220,0.0,57.2,0.0,35.2,1914.0,0.0,24.2,0.0
골든핫치킨피자,86,0.0,9.46,0.0,4.3,317.34,0.0,2.58,0.0
그릴드포테이토피자씬,118,0.0,17.11,0.0,1.25,398.49,0.0,8.85,0.0
그릴드포테이토피자오리지널,158,0.0,30.81,0.0,5.77,681.14,0.0,10.11,0.0
그릴환타지피자냉동생지도우,138,0.0,27.6,0.0,8.28,993.6,0.0,9.66,0.0
그릴환타지피자생지도우,141,0.0,29.61,0.0,8.46,958.8,0.0,9.87,0.0
까르보네피자,184,149.04,40.48,12.88,20.24,1251.2,9.2,9.02,0.0
까르보네피자,100,0.0,14.01,0.0,2.67,411.45,0.0,2.82,0.0
깐쇼새우피자,108,0.0,16.2,0.0,6.48,615.6,0.0,4.86,0.0
나폴리피자,190,0.0,41.8,0.0,28.5,1463.0,0.0,22.8,0.0
뉴욕스페셜오리진,106,0.0,14.26,0.0,5.27,462.05,0.0,5.05,0.0
뉴욕스페셜치즈캡,118,0.0,19.02,0.0,5.86,614.7,0.0,6.57,0.0
단팥크러스트피자,195,0.0,40.95,0.0,15.6,1501.5,0.0,11.11,0.0
단호박피자,185,0.0,50.28,0.0,17.06,1638.55,0.0,89.87,0.0
닭갈비골드,138,0.0,23.15,0.0,12.3,765.96,0.0,7.8,0.0
닭갈비누드,141,0.0,22.26,0.0,13.83,747.84,0.0,8.64,0.0
닭갈비오리진,120,0.0,17.73,0.0,9.04,582.45,0.0,4.58,0.0
닭갈비치즈캡,132,0.0,23.03,0.0,9.95,752.95,0.0,6.09,0.0
닭갈비쿠키,147,0.0,24.2,0.0,16.37,743.58,0.0,9.16,0.0
닭안심살피자,110,0.0,15.4,0.0,5.5,561.0,0.0,5.5,0.0
더스페셜까망베르,151,0.0,25.22,0.0,2.27,970.93,0.0,11.32,0.0
더스페셜데미그라스비프,169,0.0,33.8,0.0,2.54,1000.48,0.0,14.03,0.0
더스페셜바질씨푸드,166,0.0,31.04,0.0,1.99,987.7,0.0,9.63,0.0
더스페셜쏘핫치킨,176,0.0,33.44,0.0,13.2,1309.44,0.0,12.32,0.0
더스페셜크림치킨,181,0.0,34.39,0.0,6.52,1196.41,0.0,11.77,0.0
더스페셜텐더비프,169,0.0,30.42,0.0,2.54,1030.9,0.0,14.03,0.0
더블데커킹,171,0.0,29.07,0.0,6.84,1556.1,0.0,17.1,0.0
더블바베큐피자,160,0.0,25.6,0.0,11.2,1422.4,0.0,6.4,0.0
더블크러스트패스츄리,128,0.0,19.2,0.0,5.12,654.08,0.0,11.52,0.0
더블크러스트패스트리,100,0.0,12.94,0.0,6.42,375.13,0.0,7.97,0.0
더블크러스트프리모더블,115,0.0,19.55,0.0,5.52,838.81,0.0,13.34,0.0
더스페셜골든포테이토,201,0.0,34.17,0.0,12.06,1698.45,0.0,14.07,0.0
더스페셜크림치킨,163,0.0,30.97,0.0,6.52,1077.43,0.0,11.41,0.0
데리치킨피자,107,0.0,15.41,0.0,4.6,659.66,0.0,3.96,0.0
데리치킨불고기바이트피자,92,0.0,8.65,0.0,4.14,507.2,0.0,3.31,0.0
데리콤비디럭스엣지,113,0.0,16.27,0.0,5.09,493.81,0.0,3.95,0.0
도이치바이트피자,188,133.48,45.12,33.84,30.08,1560.4,9.4,22.56,0.0
도이치휠레나폴리,158,0.0,32.39,0.0,6.48,975.02,0.0,11.69,0.0
도이치휠레오리지널,100,0.0,12.24,0.0,3.91,348.73,0.0,3.48,0.0
도이치휠레피자씬,139,0.0,27.8,0.0,6.98,980.09,0.0,12.09,0.0
도이치휠레피자오리지널,184,0.0,38.64,0.0,7.51,1369.88,0.0,12.33,0.0
디럭스치즈라이스골드,136,0.0,32.54,0.0,4.53,229.96,0.0,9.38,0.0
디럭스치즈라이스바이트,146,0.0,36.37,0.0,6.75,185.67,0.0,3.99,0.0
디럭스치즈백미떡도우,165,0.0,28.97,0.0,4.59,314.67,0.0,7.29,0.0
디럭스치즈석쇠,183,0.0,62.09,0.0,10.39,446.79,0.0,9.28,0.0
디럭스치즈치즈크러스트,116,0.0,25.55,0.0,3.7,184.54,0.0,4.94,0.0
디럭스치즈팬,133,0.0,32.93,0.0,5.67,221.87,0.0,4.46,0.0
디럭스치즈흑미떡도우,165,0.0,29.86,0.0,5.16,314.67,0.0,7.29,0.0
디럭스치즈피자라이스골드,143,0.0,36.88,0.0,7.06,279.64,0.0,9.11,0.0
디럭스치즈피자라이스바이트,151,0.0,38.08,0.0,6.18,438.38,0.0,9.32,0.0
디럭스치즈피자석쇠,101,0.0,18.85,0.0,3.16,137.76,0.0,2.86,0.0
디럭스치즈피자치즈크러스트,114,0.0,24.44,0.0,3.55,188.04,0.0,4.94,0.0
디럭스치즈피자팬,111,0.0,22.8,0.0,3.86,157.05,0.0,3.21,0.0
디럭스피자씬,141,0.0,38.07,0.0,4.23,899.58,0.0,21.15,0.0
디럭스피자씬,150,0.0,43.5,0.0,4.5,1021.5,0.0,24.0,0.0
디럭스피자팬,174,0.0,48.72,0.0,10.44,1435.5,0.0,15.66,0.0
떡갈비골드,132,0.0,23.83,0.0,7.77,645.13,0.0,8.82,0.0
떡갈비누드,135,0.0,23.04,0.0,9.15,626.5,0.0,9.66,0.0
떡갈비오리진,114,0.0,18.31,0.0,5.14,477.74,0.0,5.53,0.0
떡갈비치즈캡,127,0.0,23.78,0.0,5.73,640.21,0.0,7.17,0.0
떡갈비쿠키,141,0.0,25.02,0.0,11.44,619.73,0.0,10.25,0.0
랍스타골드,131,0.0,20.74,0.0,7.07,708.91,0.0,5.37,0.0
랍스타누드,151,0.0,27.31,0.0,11.35,847.13,0.0,8.61,0.0
랍스타라이스골드,165,0.0,41.12,0.0,8.3,525.54,0.0,11.67,0.0
랍스타라이스바이트,175,0.0,45.33,0.0,11.08,484.01,0.0,5.08,0.0
랍스타백미떡도우,111,0.0,10.84,0.0,3.43,271.69,0.0,2.64,0.0
랍스타석쇠,120,0.0,21.55,0.0,5.45,325.79,0.0,3.24,0.0
랍스타오리진,110,0.0,14.96,0.0,4.04,507.54,0.0,2.19,0.0
랍스타치즈캡,126,0.0,21.33,0.0,4.63,715.29,0.0,3.77,0.0
랍스타치즈크러스트,145,0.0,33.38,0.0,7.09,447.33,0.0,6.42,0.0
랍스타쿠키,158,0.0,29.92,0.0,14.51,837.91,0.0,9.22,0.0
랍스타팬,127,0.0,24.6,0.0,6.1,349.64,0.0,3.49,0.0
랍스타흑미떡도우,111,0.0,11.14,0.0,3.62,271.69,0.0,2.64,0.0
랍스타피자라이스골드,176,0.0,47.48,0.0,12.14,642.15,0.0,11.56,0.0
랍스타피자라이스바이트,184,0.0,48.59,0.0,11.13,845.7,0.0,11.72,0.0
랍스타피자석쇠,134,0.0,26.6,0.0,6.83,409.64,0.0,4.06,0.0
랍스타피자치즈크러스트,147,0.0,33.27,0.0,7.47,491.36,0.0,6.66,0.0
랍스타피자팬,144,0.0,31.29,0.0,7.85,447.54,0.0,4.45,0.0
레드썬치킨피자씬,161,0.0,33.81,0.0,19.32,827.54,0.0,16.1,0.0
레드썬치킨피자씬,129,0.0,21.93,0.0,11.61,530.19,0.0,10.32,0.0
레드썬치킨피자팬,148,0.0,25.16,0.0,11.84,879.12,0.0,8.88,0.0
레이디한우피자,193,0.0,61.76,0.0,9.65,2146.16,0.0,12.35,0.0
로맨틱콤보골드엣지,146,0.0,23.36,0.0,16.06,1132.96,0.0,11.68,0.0
로맨틱콤보에그타르트엣지,146,0.0,21.9,0.0,20.44,1033.68,0.0,13.14,0.0
로맨틱콤보오리진엣지,126,0.0,17.64,0.0,12.6,876.96,0.0,7.56,0.0
로맨틱콤보치즈캡엣지,141,0.0,23.97,0.0,14.1,1132.23,0.0,9.87,0.0
로맨틱콤보크림치즈엣지,152,0.0,22.8,0.0,19.76,1144.56,0.0,13.68,0.0
로맨틱콤보해쉬브라운엣지,148,0.0,22.2,0.0,16.28,1141.08,0.0,11.84,0.0
로맨틱콤보골드엣지,188,0.0,41.36,0.0,26.32,1793.52,0.0,20.68,0.0
로맨틱콤보에그타르트엣지,188,0.0,37.6,0.0,31.96,1626.2,0.0,22.56,0.0
로맨틱콤보오리진엣지,160,0.0,30.4,0.0,17.6,1361.6,0.0,14.4,0.0
로맨틱콤보치즈캡엣지,184,0.0,44.16,0.0,20.24,1869.44,0.0,18.4,0.0
로맨틱콤보크림치즈엣지,195,0.0,39.0,0.0,29.25,1801.8,0.0,23.4,0.0
로맨틱콤보해쉬브라운엣지,191,0.0,40.11,0.0,26.74,1808.77,0.0,19.1,0.0
로맨틱콤보해쉬브라운엣지,148,0.0,22.2,0.0,16.28,1141.08,0.0,11.84,0.0
로인크레페피자,100,33.0,16.0,6.0,5.0,630.0,5.0,3.6,0.0
리얼바비큐나,110,0.0,16.5,0.0,5.5,479.6,0.0,6.6,0.0
리얼바비큐씬,189,0.0,62.37,0.0,11.34,1400.49,0.0,28.35,0.0
리얼바비큐오,141,0.0,23.97,0.0,4.23,714.87,0.0,9.87,0.0
리치골드스파이시치킨,149,0.0,25.33,0.0,11.92,727.12,0.0,10.43,0.0
리치골드스파이시치킨오리지널,149,0.0,26.67,0.0,2.38,712.22,0.0,10.43,0.0
리치골드치즈,117,0.0,17.32,0.0,4.09,448.11,0.0,8.31,0.0
리치골드더블바비큐,125,0.0,18.75,0.0,5.0,517.5,0.0,7.5,0.0
리치골드더블바비큐,139,0.0,20.99,0.0,5.7,575.46,0.0,7.78,0.0
리치골드바비큐치킨,129,0.0,19.35,0.0,5.16,558.57,0.0,7.74,0.0
리치골드바비큐치킨,100,0.0,12.27,0.0,5.82,380.16,0.0,3.58,0.0
리치골드베이컨포테이토,133,0.0,19.95,0.0,5.32,583.87,0.0,7.98,0.0
리치골드베이컨포테이토,100,0.0,11.93,0.0,4.05,377.56,0.0,4.12,0.0
리치골드수퍼슈프림,121,0.0,18.15,0.0,4.84,522.72,0.0,7.26,0.0
리치골드스파이시치킨마일드,147,0.0,26.17,0.0,3.09,718.83,0.0,10.88,0.0
리치골드야채,122,0.0,15.62,0.0,4.64,409.92,0.0,6.83,0.0
리치골드코코넛쉬림프,149,0.0,22.65,0.0,6.7,722.65,0.0,9.83,0.0
리치골드페퍼로니,114,0.0,14.71,0.0,3.99,405.84,0.0,6.73,0.0
리치골드하와이안,121,0.0,15.97,0.0,4.24,428.34,0.0,6.78,0.0
리치골드더블바비큐,154,0.0,23.1,0.0,9.86,654.5,0.0,8.78,0.0
리치골드바비큐치킨,157,0.0,23.08,0.0,10.36,697.08,0.0,8.95,0.0
리치골드베이컨포테이토,162,0.0,24.46,0.0,9.72,729.0,0.0,9.56,0.0
리치골드수퍼슈프림,149,0.0,21.75,0.0,9.24,660.07,0.0,9.24,0.0
리치골드스파이시치킨,164,0.0,28.37,0.0,16.4,818.36,0.0,11.48,0.0
리치골드스파이시치킨마일드,162,0.0,27.86,0.0,11.18,837.54,0.0,13.45,0.0
리치골드스파이시치킨오리지널,164,0.0,28.37,0.0,10.33,829.84,0.0,12.96,0.0
