식품이름,1회제공량 (g),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
비빔냉면,550,122.4,19.54,6.11,27.03,1663.87,75.15,1.9,0.05
삼선우동,1000,105.9,47.94,8.48,0.8,2722.32,620.9,2.02,0.0
삼선자장면,700,126.53,33.63,18.14,10.15,2628.24,166.57,4.06,0.09
삼선짬뽕,900,101.74,39.63,10.77,1.09,2689.13,312.48,1.92,0.03
서리태잣국수,430,60.89,18.1,18.27,0.0,82.99,0.0,0.0,0.0
수제비,800,128.38,20.84,5.55,4.32,2030.3,82.66,1.43,0.01
스파게티,100,77.06,11.2,0.18,2.96,0.0,0.0,0.03,0.0
시저샐러드,149,24.63,14.33,6.54,0.0,219.77,0.0,0.0,0.0
쌀국수,200,11.06,7.98,0.28,0.0,68.48,0.0,0.0,0.0
알록달록시금치당근수제비,320,42.18,9.63,2.05,0.0,484.0,0.0,0.0,0.0
열무냉면,800,97.52,20.84,5.78,27.14,3152.37,67.78,1.36,0.0
오일소스스파게티,400,89.42,19.56,23.43,1.41,1124.33,31.62,3.89,0.05
올챙이국수정선,1500,111.61,11.23,8.27,18.6,3862.83,0.0,1.54,0.0
우동일식,700,74.2,13.39,7.9,2.48,2390.32,25.98,1.49,0.01
우동중식,1000,85.37,29.45,21.02,1.1,3395.86,208.42,3.35,0.03
울면,1000,128.18,37.46,7.37,0.5,2799.92,445.79,1.85,0.01
인도식만두구이사모사,80,20.03,7.83,4.96,0.0,212.46,0.0,0.0,0.0
자장면,650,133.63,19.77,20.32,7.79,2391.58,10.76,8.51,0.18
잔치국수,700,118.53,21.13,4.51,0.71,1683.17,60.46,1.0,0.0
짬뽕,1000,100.59,28.17,19.18,3.38,4000.09,109.43,12.98,0.24
쫄면,450,109.57,18.4,9.99,24.17,1346.42,55.33,1.9,0.09
치즈라면,600,80.0,16.81,23.03,0.9,2113.4,103.67,9.39,0.25
콩국수,800,112.02,31.03,10.51,4.69,944.59,31.26,4.3,0.0
크림소스스파게티,400,73.76,21.79,50.59,9.17,1030.21,126.58,25.66,1.0
토마토소스스파게티,500,93.21,24.35,19.15,15.6,1508.64,49.17,5.43,0.21
해물칼국수,900,123.9,22.81,4.61,3.81,2355.07,26.7,1.3,0.01
해물크림소스스파게티,500,86.97,30.4,49.79,8.35,1323.69,210.88,24.73,0.94
해물토마토소스스파게티,500,87.25,27.98,13.73,13.48,1533.16,159.63,3.14,0.07
호박프리타타,246,12.28,25.73,16.73,0.0,234.88,0.0,0.0,0.0
호박만두,146,34.37,6.1,4.82,0.0,149.58,0.0,0.0,0.0
회냉면,550,122.01,17.75,7.89,24.35,1517.81,78.63,1.95,0.06
감자를곁들인야채스튜,165,14.77,3.32,2.46,0.0,30.13,0.0,0.0,0.0
